月份,股票代號,股票名稱,最高價,最低價,加權(A/B)平均價,成交筆數,成交金額(A),成交股數(B),週轉率(%)
"11405","06332P","台光電統一46售03","0.20","0.02","0.06","10","57600","860000","17.20"
"11405","063330","日月光國票48購01","0.17","0.17","0.17","1","5100","30000","1.50"
"11405","063331","精銳國票47購03","0.65","0.23","0.34","18","145790","420000","42.00"
"11405","063332","迅得國票47購02","0.51","0.09","0.36","27","144710","401000","20.05"
"11405","063334","南茂國票47購01","0.22","0.22","0.22","1","220","1000","0.02"
"11405","063335","美德醫國票49購01","1.09","0.53","0.67","58","1119710","1652000","33.04"
"11405","063336","美德醫國票4B購01","0.66","0.43","0.49","4","27480","55000","1.10"
"11405","063337","台灣50凱基48購06","0.01","0.01","0.01","2","1040","104000","2.08"
"11405","063338","T50正2凱基4B購01","0.73","0.50","0.62","9","71030","113000","2.26"
"11405","063339","FANG+凱基46購01","1.00","1.00","1.00","1","2000","2000","0.04"
"11405","06333P","台灣50中信4A售02","1.00","0.67","0.84","49","946870","1117000","11.17"
"11405","063340","台塑凱基47購01","0.67","0.10","0.30","70","1754180","5832000","291.60"
"11405","063342","名軒凱基46購03","0.60","0.30","0.45","12","109020","238000","10.34"
"11405","063347","華邦電凱基46購03","1.11","0.26","0.46","33","444800","961000","192.20"
"11405","063348","智邦凱基48購04","0.68","0.56","0.61","6","124420","203000","9.66"
"11405","06334P","T50正2中信4A售02","1.22","0.86","1.01","73","1031600","1016000","10.16"
"11405","063350","佳能凱基48購01","0.96","0.64","0.83","42","364150","438000","20.85"
"11405","063353","一詮凱基48購03","0.28","0.23","0.24","12","185500","756000","36.00"
"11405","063354","長榮凱基46購14","2.14","0.60","1.67","32","990220","590000","26.81"
"11405","063355","奇鋐凱基48購02","1.15","0.35","1.01","10","464220","459000","22.95"
"11405","063356","新日興凱基46購03","1.06","0.54","0.77","48","683140","886000","177.20"
"11405","063358","世芯凱基46購18","0.02","0.02","0.02","2","100","5000","0.23"
"11405","063359","世芯凱基46購19","0.06","0.02","0.02","14","30950","1071000","51.00"
"11405","06335P","南亞中信46售03","0.08","0.02","0.05","175","192500","3300000","66.00"
"11405","063360","世芯凱基46購21","0.01","0.01","0.01","1","100","10000","1.25"
"11405","063361","世芯凱基48購06","0.26","0.12","0.19","11","35560","184000","9.20"
"11405","063362","世芯凱基48購07","0.32","0.11","0.24","10","72700","300000","15.00"
"11405","063364","世芯凱基4C購02","0.52","0.21","0.29","32","78370","263000","9.74"
"11405","063365","材料凱基46購07","0.18","0.06","0.10","14","140150","1342000","67.10"
"11405","063368","愛普凱基47購02","0.56","0.34","0.42","25","74410","175000","8.33"
"11405","063369","臺股指凱基49購23","0.44","0.21","0.34","11","139760","408000","8.16"
"11405","06336P","台積電中信48售05","0.86","0.58","0.72","61","686770","945000","9.45"
"11405","063370","臺股指凱基4C購03","0.78","0.55","0.67","6","126600","187000","3.74"
"11405","063372","精銳台新46購01","0.63","0.60","0.61","2","30750","50000","10.00"
"11405","063373","台積電國泰48購04","0.19","0.08","0.09","6","12250","133000","8.86"
"11405","063375","金像電國泰48購02","0.32","0.32","0.32","1","5440","17000","1.13"
"11405","063377","景碩國泰48購02","0.62","0.44","0.51","5","24500","48000","3.15"
"11405","063379","精誠國泰48購01","0.39","0.21","0.26","28","676590","2562000","51.24"
"11405","06337P","聯發科中信48售01","0.79","0.60","0.65","11","193910","294000","2.94"
"11405","063382","上銀富邦48購01","0.23","0.23","0.23","1","6900","30000","0.30"
"11405","063383","台達電富邦46購03","0.28","0.16","0.16","4","10580","64000","0.64"
"11405","063384","萬海富邦48購01","2.49","0.47","1.36","375","8954540","6565000","93.78"
"11405","063386","中興電群益46購02","0.69","0.29","0.33","5","7760","23000","0.85"
"11405","063387","亞力群益46購02","0.62","0.30","0.42","41","549720","1305000","49.18"
"11405","06338P","啟碁中信46售01","0.95","0.52","0.64","8","143030","222000","4.44"
"11405","063392","聯電群益4C購01","1.22","0.79","0.98","31","207930","211000","8.35"
"11405","063394","鴻海群益46購13","0.14","0.12","0.13","4","920","7000","1.40"
"11405","063395","漢唐群益48購02","2.07","0.75","1.84","27","815060","442000","17.67"
"11405","063397","聯發科群益46購11","0.48","0.47","0.47","2","181450","382000","19.00"
"11405","063398","聯發科群益47購06","1.05","0.96","0.98","6","37250","38000","1.89"
"11405","063399","聯發科群益48購04","1.10","0.56","0.64","5","109030","168000","8.40"
"11405","06339P","台化國票47售03","2.05","2.05","2.05","1","2050","1000","0.12"
"11405","063401","陽明群益46購10","0.99","0.41","0.70","21","302140","426000","17.04"
"11405","063405","世芯群益46購20","0.03","0.03","0.03","1","4800","160000","6.40"
"11405","06340P","華邦電國票47售03","0.12","0.06","0.07","9","61400","861000","43.05"
"11405","063417","訊芯群益4C購01","0.57","0.31","0.38","42","230480","599000","119.80"
"11405","063418","達發群益48購03","0.08","0.05","0.06","2","13000","200000","9.93"
"11405","06341P","智邦國票46售05","1.08","0.91","1.01","4","22290","22000","4.40"
"11405","063420","緯穎群益46購19","0.41","0.34","0.37","2","224250","598000","12.92"
"11405","063423","世紀鋼群益48購02","0.98","0.41","0.59","103","2462920","4138000","181.09"
"11405","063424","A50正2元大47購02","0.66","0.38","0.48","57","2330920","4781000","95.62"
"11405","063426","元油反元大49購01","0.61","0.34","0.38","12","138240","355000","3.55"
"11405","063427","台塑元大49購01","1.57","1.14","1.40","91","3559110","2539000","50.78"
"11405","063428","東陽元大46購11","0.43","0.17","0.31","48","1053620","3324000","123.11"
"11405","063429","名軒元大46購04","0.38","0.28","0.29","7","180800","610000","12.20"
"11405","06342P","京元電國票48售02","1.78","1.68","1.72","3","34550","20000","4.00"
"11405","063430","大成鋼元大46購05","2.60","1.60","2.07","10","332600","160000","3.20"
"11405","063433","川湖元大47購05","3.24","2.03","2.79","80","6328250","2268000","84.00"
"11405","063434","川湖元大48購02","1.39","0.89","1.15","142","5879550","5106000","204.24"
"11405","063435","宇隆元大46購03","0.21","0.02","0.15","16","257930","1690000","84.50"
"11405","063439","鴻海元大46購28","0.03","0.03","0.03","1","360","12000","0.24"
"11405","06343P","長榮國票46售09","0.34","0.29","0.32","9","272680","852000","106.50"
"11405","063440","鴻海元大46購29","0.01","0.01","0.01","1","4200","420000","8.40"
"11405","063443","台積電元大49購04","0.55","0.34","0.40","37","274470","681000","13.62"
"11405","063444","智邦元大46購10","0.50","0.23","0.29","5","18480","62000","2.21"
"11405","063445","智邦元大49購01","0.63","0.53","0.60","43","1564740","2576000","51.52"
"11405","063446","大同元大46購18","0.31","0.19","0.23","21","128650","546000","10.92"
"11405","063448","佳能元大46購03","0.31","0.07","0.21","5","90800","430000","21.50"
"11405","063449","凱美元大46購04","0.03","0.03","0.03","1","900","30000","1.11"
"11405","063450","台光電元大46購13","1.71","0.94","1.22","86","3056560","2489000","49.78"
"11405","063451","台光電元大46購14","0.22","0.09","0.14","6","4280","29000","1.11"
"11405","063452","南亞科元大46購07","5.60","1.97","2.86","54","1845080","644000","25.76"
"11405","063453","友達元大46購01","0.08","0.06","0.06","2","12160","202000","6.96"
"11405","063455","聯發科元大46購18","0.28","0.28","0.28","3","8400","30000","1.15"
"11405","063456","聯發科元大46購19","0.25","0.11","0.14","20","289910","1966000","67.79"
